,,,SSR-A_SBE,SSR-A_DBE,SSR-B_SBE,SSR-B_DBE,
1847477605,6E1E4565,2016-199T19,26,0,10,0,
1847481205,6E1E5375,2016-199T20,22,0,18,0,
1847484805,6E1E6185,2016-199T21,20,0,10,0,
1847488405,6E1E6F95,2016-199T22,26,0,16,0,
1847492005,6E1E7DA5,2016-199T23,18,0,10,0,
1847495605,6E1E8BB5,2016-200T00,20,0,11,0,
1847499205,6E1E99C5,2016-200T01,28,0,20,0,
1847502805,6E1EA7D5,2016-200T02,34,0,11,1,
1847506405,6E1EB5E5,2016-200T03,24,0,19,1,
1847510005,6E1EC3F5,2016-200T04,28,0,17,0,
1847513605,6E1ED205,2016-200T05,27,0,13,0,
1847517205,6E1EE015,2016-200T06,30,0,19,0,
1847520805,6E1EEE25,2016-200T07,26,0,15,2,
1847524405,6E1EFC35,2016-200T08,33,0,15,0,
1847528005,6E1F0A45,2016-200T09,31,0,19,0,
1847531605,6E1F1855,2016-200T10,33,0,12,0,
1847535205,6E1F2665,2016-200T11,33,0,13,1,
